name,city,state,description,type
Launa's Canyon,Kingman,AZ,About two or three miles southeast of downtown Kingman  there is a place known as Launa's Canyon. This is how the story starts goes: During the 1800s  a soon to be family of four(husband  wife(Launa)  and husband’s two daughters)  traveled out to (Old Town) Kingman to search for gold. In time  the family soon built a large house near a deep  narrow canyon. The man's daughters despised the young  soon-to-be mother and wife  for the way she had treated them. Launa wanted their father all to herself. So on the night before her wedding  in order for her to get their father  Launa murdered the two young girls. She hid the murdered children in the house. When she regained her sanity later that night  she came back screaming and moaning through the canyon  begging for forgiveness for the sickening killings. To this day  it is said that you can still hear Launa's moaning throughout the c anyons during the hours of 12:00AM – 3AM.,Ghost
Crater Range,Ajo,AZ,In the 1950's  a couple was married in Ajo and was driving to Lake Tahoe for their honeymoon. Around midnight  they entered into crater range  which was lined with hills and huge rocks on both sides. Their car crashed into a rock and they were both killed. It is said that if you drive through crater range after midnight you can see their car and the couple off to the side of the road  trying to flag down help.,Ghost
Vulture Mine,Wickenburg,AZ,The mine was founded by Henry Wickenburg  when he found gold there. There are a couple of haunted places. One is the caretaker's house  in which the man and wife heard strange noises. They will openly share their ghost stories. The other haunted spot is the mess hall. There have been smells of food  even though this kitchen has been deserted. It is on the self-guided tour of the mining camp. Also  further down the road  to get to the mine  is the Vulture Mine cemetery. This is where old miners have bee buried. There is said to be a headless Indian horseman. Visitors say that they feel watched  and they can sense death. There are a couple of places on the tour where people have died  such as the hanging tree and a cave that collapsed on miners.,Ghost
Chamber of Commerce,Wickenburg,AZ,Old Train Depot - There are reports of people hearing whispering. Witnesses claim to have caught orbs in photos. This depot was built in the 1840's.,Ghost
The Hart Theatre,Ferndale,CA,The ghost that haunts Hart Theatre is called Bertha and is often seen late at night. One report claims she takes the form of a phantom cat who strolls down the aisles during performances. Bertha also performs other tricks such as locking the bathroom door from the inside and answering the phone at night when no one is there.,Ghost
Tsunami Lanes,Crescent City,CA,old family owned bowling center was sold. new owners report during remodeling they could here footsteps on wooden walk space behind pin-setters.,Ghost
Fort Humboldt,Eureka,CA,Large  heavy objects moved across floor overnight. Sighting of former post commander who died of malaria in 1859 looking out window of old hospital building. Lights going off  objects falling. Occurrences regularly during 1993 and have been reported sporadically since 1950's.,Ghost
Eureka,Humboldt,CA,Granada convalescing hospital - October 2007: this submission has been removed,Ghost
Eureka High School Auditorium,Eureka,CA,stories have been told of a two restless ghosts that wander the auditorium. The first is of a man who fell from the balcony during the buildings construction during the 20's and was decapitated. The second is of a young girl  who after losing the leading role in the school play of 1954  hung herself in the lighting booth in full view of the actress on stage. The actress took no notice of the wide eyed corpse in the balcony  and continued the show.,Ghost
Scotia Inn,Scotia,CA,"A small town in California named Scotia  there are a lot of hauntings. Particularly in the Scotia Inn. There are many sightings of many ghosts  but ask the front desk person for the most famous of them all  and you will get the answer...""Frank"". Frank is on the top story in one room. There are many sounds  feet scraps  voices  ect. Frank is a friendly ghost  and some times will bounce a basket ball to you  if you bounce it to him. Another story is of a woman  and her children. A little child was playing with her ball one bright day when her ball fell off the balcony  as did the child. It is said the mother and girl haunt the room the little girl fell off of. There is yet another story of a baby crying. There are many other ghosts in the Inn....just as the people that work there.",Ghost
Humboldt Brewery,Arcata,CA,The original proprietor of the building (and several others nearby) is known to haunt the pub and periodically cause it to be known. Employees report moving furniture  dishes etc. during their shifts and the ghost is well known to established patrons.,Ghost
The Entire Area,Fort Bragg,CA,supposedly haunted. Custer was supposedly to have passed through Fort Bragg and they say that he and his army traveled up a steep cliff at pudding creek there's been sightings of he and his army to have been seen going up the cliff at Pudding Creek and there is a path that leads to wood walkways head towards the ocean that you can walk to MacKerricker State Park. That has claimed be have seen a young lady in medieval clothing walking about searching for her lost lover who died in the civil war and they say she's been seen wandering around asking if anyone has seen her lover.,Ghost
The Gold Coast Hotel,Fort Bragg,CA,has a ghost 3 the people who work in the hotels bar area say that things like glasses have moved by themselves mysteriously.,Ghost
The Grey Whale Inn,Fort Bragg,CA,Formerly the Redwood Hospital - is said to be haunted by a lady she is often seen roaming around in their garden areas and there has been the sightings of a man who apparently appears in one of the windows.,Ghost
Horse Thief Canyon,Grand Junction,CO,Horse Thief Canyon is located west of Grand Junction and connected to the Colorado National Monument. In the 19th century  horse thieves would bring their latest herd of horses here and hide them for a while. One night the sheriff surrounded the area and shat the thieves along with some of the horses. The spirit that haunts this place seems to be unrelated to the canyon's history. On certain nights a woman in a white dress has been spotted walking from canyon wall to canyon wall. Her background is unknown  but others have claimed to see her walking the banks of the Colorado River.,Ghost
The Elks Club,Grand Junction,CO,reports of 3 to 4 different shadows have been reported to have been seen in the building by members and employees. One shadow is said to have been a woman who died of unnatural causes in the building. Employees have reported trashcans that were left on the tables after mopping were thrown across the room  doors closing on their own  and voices have been heard.,Ghost
Cliff Palace,Mesa Verde,CO,The spirits of the ancient Anasazi walk in and around the ceremonial pit houses (kivas).,Ghost
Balcony House,Mesa Verde,CO,This area is an ancient ruin of the Anasazi Indians. Several ghosts walking among the ruins. Very little is known about this specific ruin. Just standing inside the ruins one can feel the spirits.,Ghost
Beaumont Hotel,Ouray,CO,On a woman’s wedding night she was brutally murdered by her new husband. So now she walks on every quarter of the moon at 2:15 a.m. all over the house in search of her husband. and on the anniversary of her death you can see her being killed  but you can’t ever see her husband just her  like she is dieing by herself. her husband stabs her twice in the chest and once in the leg. he then drug her down the service flight of stairs  where he proceeded to drag through the hallway and then hung her in a door frame  so don’t ever go on the third floor by yourself.,Ghost
The Town,Hamilton,CO,The little town of Hamilton near Craig  in Northwestern Colorado has a benevolent spirit of a mountain man or trapper from a century ago. Sightings of him are wearing buckskins and smoking a pipe. He suddenly disappears and only the smell of the pipe remains. Witnesses will catch a glimpse out of the corner of their eye. When they turn to look there is nothing there  also the strong scent of a pipe or cigar.,Ghost
Craig middle school/old high school,Craig,CO,In 1948 a man fell to his death out of the art room and on to the stage. In the art room the door swings open even when there is no draft.,Ghost
Western State College,Gunnison,CO,Roubidoux Hall - 3rd Floor - Third Floor Roubidoux is haunted by the ghost of at least one spirit.  He had died from smoke inhalation when the building caught on fire some 20 years ago.  Those who live in the boys old room where he died have seen ghostly apparitions over the side of the bed while sleeping.  The doors have also been known to lock people within the room as he was trapped inside his room when he realized there really was a fire.,Ghost
The Skyline Lodge­,Platoro,CO,built 1945 in the tiny mining town of Platoro  Colorado. The Lodge is a 3story log/wood building and contains a general store  a restaurant  a game room  and guest/employee rooms. It stands at 10 000ft. elevation in a valley of the San Jaun Mountain Range in Southern Colorado. There is much history at the lodge and in the Platoro area in general. Platoro was founded in the early 1880's to provide housing  food and even a post office for local gold/silver miners. One of the ghosts that haunt the area/lodge is believed to be 'Little Eva'. Eva was a 16yr. old prostitute that was shot by the wife of a local miner. Her grave is an unmarked concrete slab that's in a field about 150yrds from the lodge.­ - (private property)­ - Another 'Spirit' is believed to be Henry  the ghost of a man that passed away(1950's) inside the main lodge after suffering a heart attack while hunting. Some of the mysterious things that happen are; Shadows(silhouettes)passing by/behind people when they're alone. Bowls  silverware  plates getting thrown off counters and shelves. Doors opening/shutting  even locking on there own. Numerous cold spots that are almost always there. The sound of furniture being dragged across upper floors when no one's around. Things missing and turning up in strange locations  and fires in the main lobby fireplace starting/stopping on there own.,Ghost
Evergreen Cemetery,Leadville,CO,Blue lights shoot through the treetops  and a woman in white flies over the tombstones.,Ghost
Carousel Gardens,Seymour,CT,haunted by a woman who used to live there. It was a mansion converted into a restaurant in the mid 60's. Now the story is  that she lived there with her brother for many years  but they rarely spoke  and they say  for this reason  she haunts this place.,Ghost
Webster House Company #3,Ansonia,CT,Strange sounds have been heard. Feelings of not being alone. A grandfather clock that dates back many years will start to chime every 15 minutes. Chains being dragged across an upstairs floor  as well as voices  coughing and laughter have all been heard by witnesses that where alone in the building.,Ghost
Phelps Mansion,Stratford,CT,Before the Mansion was built a lady named Goody Basset was burned at the stake for being a witch. After the house was built  lots of people have been drawn out of it. The legend is that if you stare in a mirror in the house  you will not see your face but Goody Basset's and she will prick your arm with a needle for staring at you. - November 2005 correction: Phelps was owned by Reverend Eliakim Phelps and his family in the 1800's. But the history of Phelps still intrigues people to this day. Reverend Eliakim Phelps was returning to his home on Elm street in Stratford after Sunday service on March 14 1850. With him was his wife  two sons ages three and eleven  and two daughters ages six and sixteen. When they entered the house  they found the interior in shambles. Furniture  food and expensive china had been strewn around the downstairs rooms  the Rev. Phelps first thought was that the house was burglarized  until he entered the dining room. He then concluded that demon spirits had entered his home.,Ghost
Eagle Hose Co. #6 (firehouse),Ansonia,CT,to be honest just weird things but they only happen when you are the only person there whether in the basement or on the top floor there is a history here check into it.,Ghost
Tarrywile Park &amp; Hearthstone Castle,Danbury,CT,Several hauntings are known to exist on the grounds - mainly around the area of the abandoned Hearthstone Castle. There have been reports of shadowy figures  glowing orbs or mists in the castle's windows or on the roof - as well as the surrounding land and the locations of the former servant/guest houses.. Some hikers have reported being pushed & sticks thrown at them.,Ghost
Western Connecticut State University,Danbury,CT,"Berkshire Theatre - There is a ghost known by the name ""Daphne"" that haunts the large theatre of Berkshire Hall. Students working late at night will see her image in the light/sound booth or on the stage. She is friendly and will appear/reappear when asked politely by no more than 2 individuals.",Ghost
Western Connecticut State University,Danbury,CT,Fairfield Hall -  3rd floor haunted by soul of young girl who had committed suicide in the tower on the top of the hall. She is know for apparitions in windows n mirrors.... running showers and showing up in photographs. She is known for making mirrors become never ending ...and making screaming sounds all through the night...is she waiting to be let free...or is she just haunting the students who live there.,Ghost
Topstone Rd,Redding,CT,a small field on the right of the train tracks before the overpass usually at night orbs of light and a lit tent vanishing.,Ghost
Cemetery behind Mathews Mansion,Norwalk,CT,While walking home  over the I-95 Yankee doodle bridge a witness saw a grayish white mist with a woman’s face travel across the highway off ramp through the woods in to the cemetery.,Ghost
Wooster St.,Bethel,CT,In a boarding house on the Danbury end of the street  there is a room where one man committed suicide and another overdosed on heroin. Former residents of the room report hearing screams in the night and the illusion that the walls are melting.,Ghost
The Green At Dover,Dover,DE,A Judge’s angry spirit walks among the nearby tombstones and on the Green. RI,Ghost
Deer Park Inn and Tavern,Newark,DE,"Main Street- Has be remolded several times but back in the 1800s slaves were traded on the porch. It is said that Edgar Allen Poe wrote ""The Raven"" there. Once a popular dive for the college kids  the wait staff used to tell stories of sounds on the stairs(which were closed off at the time) when opening or closing the bar. Of course no one was there. Often the front doors would swing as if someone entered  but again  no one was there.",Ghost
Locust Grove Farm,Middletown,DE,A young boy was said to have died in the house in the early 1900s. The house is 152 years old. Lights  TVs turn themselves on and off. One night the toy train in the sunroom began to go around the track all by itself  and voices have been heard. Feelings of not being alone when you walk in the house is common! At night the house is never quite  squeaks and thumps are heard.,Ghost
Cooches Bridge,Newark,DE,First Battle of the American Revolution where the Stars and Stripes was flown in Battle. Delaware militiamen were delaying the British forces who landed at Turkey Point in Maryland so as to give General Washington time to escape from Philadelphia. One legend states that during the initial skirmish between the militia and the Redcoats  a British soldier got his head shot off. On foggy moonless nights people claim to see a Headless British Soldier walking along the roads in the area. There are many other stories associated with the area.,Ghost
Lums Pond State Park,Newark,DE,In the early 70's a runaway girl was taken into the woods and killed here. The killer was never caught but sometimes a pleading high pitched voice and muffled screams can be heard from the woods just off the Swamp Forest hiking trail which goes around Lums Pond.,Ghost
Christiana Fire Co. Station 12,Newark,DE,Formerly listed as Station 3 - There are 2 ghosts that haunt the firehouse. There is one in the engineer's room that is evil and appears as a shadow in the door way and you can see him in the hallway going to the engineer's room. You can also hear voices late at night if you are by yourself. But there is another ghost and he is the protector of the station. He is very good and he rarely shows himself; and he keeps the evil presence in the hallway of the engineer's room. If you go to the firehouse you can literally feel the struggle going on.,Ghost
Salem Church Road,Newark,DE,people say there are a family of six walking across the highway. Back in the 1900's the family of six was hung because of witchcraft  ever since then they hunt the highway to find the relatives whom hung them.,Ghost
The Valley,Newark,DE,"A long and windy road near the Pike Creek area that many have sighted eyes  herd screams at night  had things run in front of their cars  seen things chasing their cars  accidents are a near miss on this dark and creepy road. The trees that line it seem to fallow you and bend down towards your passing car  the woods seem to move with you instead of being passed  keep your eyes open and your foot on the break while driving this haunted road. There is also somewhere on this road a tree said to have had an abandoned baby placed in it to die  sometimes if brave passersby stop they can hear the tree ""crying"" the distinct sound of an infant crying in the darkness surrounds visitors.",Ghost
Black Diamond Rd.,Smyrna,DE,development on this road is said to be built on top of an Indian Graveyard. Some things can be pretty creepy at night. Lights glow in the distance and people who live in those houses in the development say that when taking pictures of family and friends orbs appear in pictures maybe to appear to be an Indian.,Ghost
Union St.,Smyrna,DE,Girl in white dress floating through hallway  chairs turned around backwards  objects misplaced and moved  all electrical objects turned on.,Ghost
St. Michael’s Cemetery,Pensacola,FL,This is a large cemetery that was started when Pensacola was settled. This cemetery contains famous people and people that helped to shape Florida in history  politics  and commerce. People say they have seen lights circling gravestones. They have also heard voices inside the cemetery at night.,Ghost
House on Alcaniz Street,Pensacola,FL,The Gray House on Alcaniz Street  which faces the Dorr House across Seville Square is said to be haunted. The ghost of a sea captain named Thomas Moristo who lived there in the 1700s is believed to still reside there. When the home is vacant  a man has been seen peering through the windows. Many people who have lived there have reported that they will turn on the stove  go upstairs  then come down and find the stove turned off. On one incidence  a resident was painting the house and left the paint inside the front foyer. The next morning he found all the paint had been moved outside. - The house was once in a bad fire  and it is believed the ghost does these things attempting to prevent another fire. Many people have become too frightened and refused to live in this house  and some residences have claimed to see apparitions of the old man while inside the house.,Ghost
Just east of Wal Mart,Pace,FL,A strange light was seen around a cell tower just east of Wal Mart behind Chic Filet. Strange lights have been reported.,Ghost
Wal-Mart,Pace,FL,Orbs in the maternity section,Ghost
Milton Graveyard,Milton,FL,A picture taken picked up a thin shadow image in the distance.,Ghost
Bagdad Cemetery,Bagdad,FL,"Witnesses have heard kids laughing in the daytime  just outside the cemetery (in the overgrowth of the property. There were no sign of kids where the noise came from. We also caught a few orbs on film when we visited there at night. Note of caution  the county sheriffs department stakes out the road nearby and patrols the cemetery because of vandals and drug users. A Local legend is associated with the large round ball tombstone in the SE corner of the cemetery  near the exit road. On dark moonlit nights  you can see and hear the granite ball slowly rotating in it's pedestal!!! Also for some reason  the three adjacent obelisks have always been refered to as ""The Sentinels"".",Ghost
HWY 90,East Milton,FL,there are a row of white houses off the side of Highway 90 that is haunted. Witnesses have gotten pictures of orbs and facial images in the background. In The bathroom  after the room was steamed up from the hot shower  different words written on the mirror would appear.,Ghost
NAS Whiting Field,Pensacola,FL,Branch Medical Clinic - The ghost of a navy corpsman killed while stationed there reportedly roams the hallway between the lab and X-ray departments. He always is seen carrying something in his hands and wears a tech jacket.,Ghost
Cobb Cemetery,Crestview,FL,On a normal basis  this cemetery is haunted by a ghost that walks among the grave at about 1:24 A.M. AS the story goes this ghost is a man late 80's ; retired officer looking for his wife. He appears mostly in Feb. - January 2007 additional information: The road is between a gas station on highway 90 and a hairdressing place. Keep going past the church  a ways. This road is mostly paved. It's on the left hand side on a dirt road - it’s very narrow (ie  you can't turn around in it till your in the cemetery) KKK apparitions  ghosts of the lynched and a wondering man. There seem to be a lot of white flashes  like a sheet running and then it's gone.,Ghost
Cobb's Cemetery,Milligan,FL,When a closed can of beer is placed beside a certain tombstone in the cemetery and left for about 15 min. It will be empty and still closed when you return. There are extremely eerie feelings and noises as soon as you pass through the gates.,Ghost
The Hangin' Tree,Leefield,GA,This location is so notorious as to be completely abandoned at night save the most curious. This tree was reportedly used for numerous lynchings and is currently surrounded by a small community that has been in this area since pre-antebellum. Reported that bodies can be seen in the tree from a distance and if it is approached  the swaying bodies will stare at the trespassers. Other sightings conclude that there is a murder of crows that constantly watch for trespassers as well.,Ghost
GC&amp;SU,Milledgeville,GA,Samford Hall - The third floor of the dormitory which has now been closed only leaving two floors has been an area of a ghostly sighting. Some say that the ghost of a girl who committed suicide over an unexpected pregnancy still lingers on the floor in which her suicide occurred.,Ghost
Old School for the Deaf,Cave Spring,GA,"In downtown Cave Spring Ga. there is an old school for the Deaf which has buildings that were used during the Civil War. One of there buildings is a former infirmary. There are still bloodstains on the walls and floor and footsteps and crying can be heard. A physic was hired to investigate the building but refused to enter when she arrived because she said ""There were to many evil spirits present"". There is also a ghost of a lady that can be seen wandering through the vast fields of kudzu around the campus. People report having seen her usually after they see herds of deer standing and then running away.",Ghost
Ruby Falls,Lookout Mountain,GA,"in the rock formation ""Ruby's Drapery""  and in the twilight zone  there have been sightings of mysterious shadows and figures. on a school trip  a child named Katie saw a woman dressed in ruby red clothes. Said to be the ghost of ""Ruby""  who the caverns were named after.",Ghost
Chickamauga Battlefield,Chickamauga,GA,"Many things reported in this area: Every night  a mysterious fog rolls in upon the battlefield. Upon driving through the park  one may find that there is no fog before entering or after leaving the park  only in the park itself. -There are also tales of the infamous ""Green Eyes""  a confederate soldier killed by his Yankee twin brother  whose eyes can still be seen at night on Snod Grass Hill. An apparition of a soldier walking down the road has been reported. They also say that if you notice him and he notices you  he will stare you down until you are out of sight. There is the tale of the bride-never-to-be who still walks the battlefield in her wedding gown during September and October  visiting the grave of the man she was going to marry  killed during the war.",Ghost
Chickamauga Battlefield,Ringgold,GA,There are many reports of seeing a mysterious set of glowing green eyes from a ghost of a confederate soldier. Even during the war  soldiers had reported him looking over the dead during battles. Also  There is an old tower here that is visible from the main road. The top four steps have a mysterious blood stain on them. People have tried to remove the stains  but to no avail. They always seem to return. A mysterious being haunts the area beneath the stairs at night. - October 2007 additional information: It is believed the mysterious being living under the stairs in the old tower is said to be part sheep and part woman. There have been reports from people who live in the area of a nest that was removed from underneath the stairs in years past. There are a great number of unexplained things in this park. You can feel the ground shake and hear the cannons explode if you listen hard enough.,Ghost
Chickamauga Battle Fields,Fort Oglethorpe/ Lafayette,GA,There is also a women whom wears a white dress that sings a lullaby to a small infant she carries with her. She is usually seen at dusk but has also been seen during reenactments of the battle.,Ghost
Corpse Woods,Summerville,GA,This abandoned manor house was the scene of a double murder in 1982. Before the murder the site was once used for satanic rituals. It's said to be haunted by evil forces.,Ghost
Berry College,Rome,GA,CCC Road - aka Seven Bridges Road - On the northern side of Berry College  there is a road - CCC Road  when you go west  if you count the small bridges as you go over them  there are seven  turn around  count them on the way out  there are only six. At the west end of the road are the ruins of an old church and cemetery called Mountain Springs Church. You can hear music coming from the church at night along with crying and footsteps in the cemetery. - October 2004 update: this is a dirt road and it is blocked of to visitors with no permission.,Ghost
Berry College – The Road between the new &amp; old campus,Rome,GA,"On the road between the main campus of Berry College and the new mountain campus  the 2-mile road is bordered by woods on both sides. In the days before there was a mountain campus  students from Berry would go up into the woods to fool around. One such couple who attended Berry in the '40's is the subject of a tragic accident that occurred at Berry. After making love  the young man and young woman got into an argument  and the boy left his girlfriend in the woods to walk home alone while he drove. After driving a little while  he felt sorry and turned around to pick her up. On the way back  he wasn't paying attention to the road and he hit something. Assuming it was a deer  he got out to look--and it was his lover! She was dead. To this day  students at Berry say that if you go to the spot on the road where the girl died (it is not a bridge) and say  ""Green lady  green lady  green lady"" that a pale green light will appear in the trees. This is her spirit.",Ghost
Lihue,Kauai,HI,Once upon a time in the 1990 there was a place in  Kauai Lihue  there now its called  Chief's Kamakahella Middle School  but befor that was a train track one day when a train passed there have been reports about a lady in white waiting for the train. Before that was a woman she would always wait for the train until one day the lady accidentally went on the track so out of no were the train ran over her. and at that school every night she waits for the bus.,Ghost
